Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration,Permeability,FOS
30,20,30,10,16,0.001,2.4
30,20,30,10,20,0.001,2.397
30,20,30,10,24,0.001,2.395
30,20,30,30,0,0.001,2.416
30,20,30,30,1,0.001,2.41
30,20,30,30,2,0.001,2.406
30,20,30,30,3,0.001,2.402
30,20,30,30,4,0.001,2.399
30,20,30,30,8,0.001,2.388
30,20,30,30,12,0.001,2.379
30,20,30,30,16,0.001,2.377
30,20,30,30,20,0.001,2.377
30,20,30,30,24,0.001,2.377
30,20,30,60,0,0.001,2.416
30,20,30,60,1,0.001,2.405
30,20,30,60,2,0.001,2.396
30,20,30,60,3,0.001,2.388
30,20,30,60,4,0.001,2.380
30,20,30,60,8,0.001,2.357
30,20,30,60,12,0.001,2.353
30,20,30,60,16,0.001,2.352
30,20,30,60,20,0.001,2.352
30,20,30,60,24,0.001,2.352
15,0,45,10,0,0.001,0.335
15,0,45,10,1,0.001,0.333
15,0,45,10,2,0.001,0.333
15,0,45,10,3,0.001,0.333
15,0,45,10,4,0.001,0.333
15,0,45,10,8,0.001,0.332
15,0,45,10,12,0.001,0.331
15,0,45,10,16,0.001,0.331
15,0,45,10,20,0.001,0.331
15,0,45,10,24,0.001,0.33
15,0,45,30,0,0.001,0.335
15,0,45,30,1,0.001,0.332
15,0,45,30,2,0.001,0.33
15,0,45,30,3,0.001,0.328
15,0,45,30,4,0.001,0.327
15,0,45,30,8,0.001,0.326
15,0,45,30,12,0.001,0.324
15,0,45,30,16,0.001,0.324
15,0,45,30,20,0.001,0.324
15,0,45,30,24,0.001,0.324
15,0,45,60,0,0.001,0.335
15,0,45,60,1,0.001,0.328
15,0,45,60,2,0.001,0.325
15,0,45,60,3,0.001,0.322
15,0,45,60,4,0.001,0.32
15,0,45,60,8,0.001,0.315
15,0,45,60,12,0.001,0.314
15,0,45,60,16,0.001,0.314
15,0,45,60,20,0.001,0.314
15,0,45,60,24,0.001,0.314
15,5,45,10,0,0.001,0.697
15,5,45,10,1,0.001,0.696
15,5,45,10,2,0.001,0.695
15,5,45,10,3,0.001,0.694
15,5,45,10,4,0.001,0.693
15,5,45,10,8,0.001,0.69
15,5,45,10,12,0.001,0.686
15,5,45,10,16,0.001,0.683
15,5,45,10,20,0.001,0.681
15,5,45,10,24,0.001,0.679
15,5,45,30,0,0.001,0.697
15,5,45,30,1,0.001,0.694
15,5,45,30,2,0.001,0.692
15,5,45,30,3,0.001,0.689
15,5,45,30,4,0.001,0.686
15,5,45,30,8,0.001,0.677
15,5,45,30,12,0.001,0.673
15,5,45,30,16,0.001,0.672
15,5,45,30,20,0.001,0.672
15,5,45,30,24,0.001,0.672
15,5,45,60,0,0.001,0.697
15,5,45,60,1,0.001,0.691
15,5,45,60,2,0.001,0.685
15,5,45,60,3,0.001,0.68
15,5,45,60,4,0.001,0.675
15,5,45,60,8,0.001,0.666
15,5,45,60,12,0.001,0.666
15,5,45,60,16,0.001,0.666
15,5,45,60,20,0.001,0.666
15,5,45,60,24,0.001,0.666
15,10,45,10,0,0.001,0.977
15,10,45,10,1,0.001,0.976
15,10,45,10,2,0.001,0.975
15,10,45,10,3,0.001,0.964
15,10,45,10,4,0.001,0.964
15,10,45,10,8,0.001,0.963
15,10,45,10,12,0.001,0.961
15,10,45,10,16,0.001,0.96
15,10,45,10,20,0.001,0.959
15,10,45,10,24,0.001,0.958
15,10,45,30,0,0.001,0.977
15,10,45,30,1,0.001,0.95
15,10,45,30,2,0.001,0.934
15,10,45,30,3,0.001,0.923
15,10,45,30,4,0.001,0.919
15,10,45,30,8,0.001,0.916
15,10,45,30,12,0.001,0.916
15,10,45,30,16,0.001,0.916
15,10,45,30,20,0.001,0.916
15,10,45,30,24,0.001,0.916
15,10,45,60,0,0.001,0.977
15,10,45,60,1,0.001,0.963
15,10,45,60,2,0.001,0.96
15,10,45,60,3,0.001,0.957
15,10,45,60,4,0.001,0.955
15,10,45,60,8,0.001,0.95
15,10,45,60,12,0.001,0.949
15,10,45,60,16,0.001,0.949
15,10,45,60,20,0.001,0.949
15,10,45,60,24,0.001,0.949
15,15,45,10,0,0.001,1.222
15,15,45,10,1,0.001,1.221
15,15,45,10,2,0.001,1.221
15,15,45,10,3,0.001,1.22
15,15,45,10,4,0.001,1.22
15,15,45,10,8,0.001,1.218
15,15,45,10,12,0.001,1.216
